joyful	happy/cheerful/joyous/elated/ecstatic/overjoyed/gleeful/gleaming/radiant/exuberant/enthusiastic
lake	sea/ocean
like	love/care/fond/crush/infatuate
lonely	isolated/lonesome/solitary/forlorn/abandoned/desolate/companionless/alone/estranged/single/unwanted/outcast/friendless/by_yourself
love	adore/fetishize/idolize/idolise/worship/hero-worship/revere
loving	affectionate/caring/tender/kindhearted/fond/compassionate/devoted/attentive/sweet/nurturing
mischievous	playful/naughty/troublesome/misbehaving/roguish/irksome/wicked//full_of_mischief/ill_behaved
modest	humble/unassuming/unpretentious/unpresuming/unboastful/self_effacing/simple/restrained/understated/reserved/low_key/quiet/discreet
monkey	gorilla
nap	sleep/slumber
necessary	essential/indispensable/vital/required
nervous	worried/uneasy/restless/jittery/concerned/tense/edgy/fretful/anticipatory/fidgety/rattled
opposed	averse/antipathetic/antipathetical/indisposed/loath/loth
optimistic	hopeful/positive/upbeat/encouraging/promising/cheering/sanguine/bright/sunny/forward_thinking/advantageous
overwhelmed	overcome/overpowered/conquered/routed/trounced/beaten/crushed/subjugated/vanquished/worsted/devastated/thrashed/overthrown/losing/foiled/bested/defeated/frustrated/unsuccessful/failed/balked/checkmated/whitewashed
pain	torment/torture/agony
peaceful	calm/serene/tranquil/relaxed/placid/harmonious/quiet/placid/gentle/soothing/laid_back/unruffled/at_ease
playful	frisky/lively/spirited/mischievous/frolicsome/bubbly/impish/cheerful/exuberant/jolly
pony	horse
poorly	afflicted/sick/ill/stricken
rain	deluge/shower
relaxed	calm/laid_back/easygoing/serene/peaceful/tranquil/at_ease/unruffled/comfortable/loose
reliable	dependable/trustworthy/consistent/responsible/faithful/loyal/steadfast/unfailing/solid
sad	desparate/despondent/despairing/desponding/forlorn/hopeless/melancholy
sea	ocean
serene	calm/peaceful/tranquil/relaxed/placid/harmonious/quiet/placid/serene/gentle/soothing/laid_back/unruffled/at_ease
skeptical	doubtful/suspicious/cynical/uncertain/disbelieving/dubious/critical/questioning/leery/distrustful/alert/concerned
sleepy	drowsy/tired/exhausted/somnolent/sleep_deprived/half_asleep/sluggish/snoozy/heavy_eyed/half_awake
snack	meal/eat
sniffles	pneumonia
soon	immediately/promptly/straightaway
sorrowful	sad/mournful/dismal/dejected/heartbroken/grief_stricken/melancholy/woeful/despondent/blue/downhearted/gloomy/tearful/down
stressed	anxious/tense/overwhelmed/worried/strained/pressured/stretched/nervous/frazzled/uptight
strong	powerful/forceful/super/potent
surprised	astonished/startled/shocked/amazed/stunned/baffled/dumbfounded/aghast/astounded/flabbergasted/overwhelmed/awestruck/agape/bewildered/open_mouthed
suspicious	skeptical/doubtful/suspicious/cynical/uncertain/disbelieving/dubious/critical/questioning/leery/distrustful/alert/concerned
tasty	delicious/delectable/luscious/pleasant-tasting/scrumptious/toothsome/yummy/mouth-watering/ambrosial/heavenly
thankful	grateful/appreciative/obliged/indebted/recognizing/acknowledging/pleased/glad/gratified
thoughtful	considerate/reflective/caring/attentive/observant/concerned/sensitive/empathetic/compassionate
tired	exhausted/drained
unfortunate	tragic/woeful/grievous/wretched/miserable/awful/lamentable/regrettable/desperate/hopeless/disastrous
unhappy	miserable/suffering/wretched
want	crave/hunger/thirst/starve/lust
warm	hot/fiery/flaming/heated/red-hot/sizzling/sensual/sultry/torrid/white-hot
well	flourishing/robust/booming/prospering/prosperous/thriving
